license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,exfoliative dermatitis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,miliary tuberculosis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,Addison disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,inflammatory bowel disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,renin-angiotensin-aldosterone system-blocker-induced angioedema,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,Diamond-Blackfan anemia,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,discoid lupus erythematosus,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,"spondyloarthropathy, susceptibility to",,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,psoriatic arthritis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,rheumatoid arthritis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,congenital adrenal hyperplasia,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,dermatitis herpetiformis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,autoimmune thrombocytopenic,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,disease of orbital region,,TxGNN Knowledge Graph,
